WKT,name,description
"POLYGON ((104.009925 1.342469, 104.010391 1.343544, 104.010343 1.343467, 104.010249 1.343383, 104.010134 1.343268, 104.010019 1.343166, 104.009944 1.343105, 104.009378 1.342678, 104.009502 1.342517, 104.009576 1.342572, 104.00964 1.342607, 104.009718 1.342614, 104.009766 1.342607, 104.009832 1.342579, 104.009893 1.342524, 104.009925 1.342469))",Yellow,
"POLYGON ((104.012217 1.349447, 104.012347 1.349277, 104.012418 1.349345, 104.012515 1.349399, 104.012628 1.349393, 104.012719 1.349345, 104.01281 1.349248, 104.013266 1.350332, 104.01303 1.350066, 104.012217 1.349447))",Yellow,
"POLYGON ((104.010594 1.345602, 104.010663 1.34552, 104.010723 1.345436, 104.010809 1.345507, 104.010908 1.345547, 104.011024 1.34555, 104.011131 1.345472, 104.011163 1.345392, 104.011392 1.345861, 104.011639 1.346497, 104.01158 1.346404, 104.011514 1.346316, 104.011415 1.346244, 104.011353 1.346196, 104.011192 1.346056, 104.011034 1.34593, 104.010828 1.345783, 104.010594 1.345602))",Yellow,
"POLYGON ((104.008052 1.339596, 104.00815 1.338848, 104.00816 1.338687, 104.008102 1.338184, 104.00858 1.339292, 104.008494 1.339276, 104.008356 1.339333, 104.008284 1.339423, 104.00826 1.339621, 104.008157 1.33961, 104.008052 1.339596))",Yellow,
"POLYGON ((104.006476 1.335842, 104.006545 1.335292, 104.006578 1.334895, 104.00657 1.334646, 104.006559 1.334562, 104.006969 1.335534, 104.006942 1.335525, 104.006877 1.335531, 104.006812 1.335559, 104.006765 1.335584, 104.006728 1.335637, 104.006696 1.335708, 104.00668 1.335868, 104.006476 1.335842))",Yellow,
"POLYGON ((104.00575 1.334119, 104.00556 1.333687, 104.005874 1.333552, 104.005967 1.333478, 104.006039 1.333331, 104.006184 1.333666, 104.006307 1.333938, 104.006352 1.334031, 104.006246 1.333974, 104.006128 1.333982, 104.006015 1.334002, 104.00575 1.334119))",Yellow,
"POLYGON ((104.004066 1.33016, 104.00413 1.329677, 104.004173 1.329307, 104.004186 1.329082, 104.004184 1.328969, 104.004168 1.328907, 104.004544 1.329838, 104.004493 1.329835, 104.004442 1.329846, 104.004399 1.329868, 104.004366 1.329894, 104.004323 1.329941, 104.004296 1.330002, 104.00428 1.330181, 104.004066 1.33016))",Yellow,
"POLYGON ((104.003056 1.326284, 104.003322 1.326916, 104.003283 1.326903, 104.003185 1.326885, 104.003087 1.326888, 104.002734 1.327038, 104.002552 1.326624, 104.002896 1.326474, 104.002962 1.326426, 104.003011 1.326368, 104.003056 1.326284))",Yellow,
"POLYGON ((104.000816 1.322441, 104.000638 1.322032, 104.001156 1.321816, 104.001369 1.322318, 104.001359 1.322316, 104.001307 1.322305, 104.001255 1.322302, 104.001202 1.3223, 104.001149 1.322307, 104.000816 1.322441))",Yellow,
"POLYGON ((104.015603 1.354944, 104.015445 1.35458, 104.015396 1.354468, 104.01543 1.354495, 104.015468 1.354506, 104.015499 1.354519, 104.015535 1.354524, 104.015608 1.354518, 104.015691 1.354498, 104.016094 1.354357, 104.016151 1.354485, 104.016202 1.354609, 104.015781 1.354819, 104.015702 1.354891, 104.015603 1.354944))",Yellow,
"POLYGON ((104.014694 1.355328, 104.014522 1.354922, 104.014839 1.354787, 104.014853 1.354774, 104.014877 1.354757, 104.0149 1.354738, 104.01493 1.354708, 104.014957 1.354667, 104.014989 1.354612, 104.015017 1.354532, 104.015031 1.354446, 104.015291 1.355067, 104.014694 1.355328))",Yellow,
"POLYGON ((104.01498 1.353661, 104.014564 1.352622, 104.014539 1.352552, 104.014528 1.352514, 104.014517 1.352473, 104.014518 1.3524, 104.014525 1.35236, 104.014536 1.352327, 104.014548 1.3523, 104.014568 1.352278, 104.014595 1.352227, 104.014642 1.352196, 104.015046 1.352002, 104.015617 1.353364, 104.015023 1.353613, 104.014992 1.353637, 104.01498 1.353661))",Yellow,
"POLYGON ((104.01476 1.355486, 104.014694 1.355328, 104.015303 1.355065, 104.015368 1.355217, 104.01476 1.355486))",Yellow,
"POLYGON ((104.010646 1.343392, 104.010694 1.343389, 104.011692 1.342958, 104.012948 1.345942, 104.011908 1.346381, 104.010646 1.343392))",Yellow,
"POLYGON ((104.006505 1.33579, 104.006509 1.33574, 104.006716 1.335762, 104.006709 1.335813, 104.006505 1.33579))",Yellow,
"POLYGON ((104.01539 1.355333, 104.001156 1.321816, 104.001452 1.321691, 104.01573 1.355252, 104.01539 1.355333))",Yellow,
"POLYGON ((104.006107 1.328192, 104.006061 1.328044, 104.008215 1.327135, 104.008282 1.327269, 104.006107 1.328192))",Yellow,
"POLYGON ((104.004913 1.328738, 104.004825 1.328502, 104.005687 1.328124, 104.005808 1.328364, 104.004913 1.328738))",Yellow,
"POLYGON ((104.005913 1.328585, 104.004878 1.329021, 104.00458 1.328313, 104.005624 1.327884, 104.005913 1.328585))",Yellow,
"POLYGON ((104.006512 1.327509, 104.006432 1.327288, 104.006425 1.327233, 104.006433 1.327182, 104.006456 1.327099, 104.006486 1.327017, 104.006496 1.326946, 104.006476 1.32687, 104.006188 1.326209, 104.007108 1.325823, 104.007206 1.326046, 104.011361 1.324277, 104.011266 1.324039, 104.011572 1.323904, 104.011372 1.3234409, 104.0114981 1.3233824, 104.011537 1.3233676, 104.0115732 1.3233529, 104.0117795 1.3238479, 104.0121537 1.3247161, 104.0125806 1.3257474, 104.005979 1.328554, 104.005682 1.327859, 104.006512 1.327509))",Yellow,
"POLYGON ((104.012279 1.325038, 104.01257 1.325747, 104.005979 1.328554, 104.005835 1.328203, 104.005682 1.327859, 104.012279 1.325038))",Yellow,
"POLYGON ((104.002741 1.327036, 104.002938 1.326953, 104.003014 1.326916, 104.003055 1.3269, 104.003113 1.326887, 104.003179 1.326882, 104.003232 1.326886, 104.003275 1.326903, 104.003322 1.326916, 104.003378 1.326942, 104.003409 1.326973, 104.003436 1.326989, 104.003466 1.32702, 104.003483 1.327037, 104.003924 1.328056, 104.003282 1.328328, 104.002741 1.327036))",Yellow,
"POLYGON ((104.007061 1.325725, 104.008078 1.325251, 104.009119 1.324804, 104.011199 1.323895, 104.011297 1.324103, 104.011361 1.324277, 104.00928 1.325161, 104.007206 1.326046, 104.007061 1.325725))",Yellow,
"POLYGON ((103.9982803 1.3216083, 103.9974619 1.3219654, 103.9973144 1.3216731, 103.9971695 1.3212655, 103.9956066 1.3175128, 103.9955476 1.3171964, 103.9956511 1.3168118, 103.9958738 1.3164953, 103.9961259 1.3163076, 103.99626 1.3162781, 103.9967482 1.3160931, 103.996614 1.3157311, 103.9958738 1.3160878, 103.9956592 1.3162433, 103.9955894 1.3163532, 103.9951227 1.3165222, 103.9949994 1.316431, 103.994479 1.315286, 103.9979654 1.3137454, 103.998298 1.3138741, 103.9997269 1.3171476, 104.0002097 1.3179306, 104.0040521 1.3266816, 104.0054146 1.3300335, 104.0052698 1.3301032, 104.0098605 1.3409601, 104.010244 1.3408019, 104.0103755 1.3410754, 104.0100322 1.3412041, 104.0101493 1.3414813, 104.0102467 1.3416653, 104.0103728 1.3416707, 104.0104345 1.341719, 104.0105954 1.3418772, 104.0109008 1.3426233, 104.0110564 1.3430256, 104.0118047 1.3427118, 104.0131201 1.3459491, 104.0125783 1.3462012, 104.0129186 1.3469584, 104.0125967 1.3473553, 104.0143705 1.3515964, 104.0148801 1.3513658, 104.0163173 1.3548608, 104.0160223 1.3549841, 104.0165373 1.3562122, 104.0152533 1.3567233, 104.0145356 1.3549445, 104.0144083 1.3544543, 104.0127543 1.3504323, 104.0127453 1.3500263, 104.0123473 1.3490703, 104.0121003 1.3487873, 104.0111675 1.3465307, 104.0111273 1.346166, 104.0107493 1.3452813, 104.0104773 1.3448953, 104.009923 1.343565, 104.0098963 1.3432903, 104.0096113 1.3425783, 104.0092263 1.3417033, 104.0090365 1.3416115, 104.0089593 1.3415103, 104.0085783 1.3405583, 104.0085903 1.3402247, 104.0083945 1.3397233, 104.0080003 1.3387953, 104.0078443 1.3386193, 104.0070703 1.3368183, 104.0069823 1.3364053, 104.0064463 1.3350823, 104.0062593 1.3348513, 104.0059461 1.3341114, 104.0046263 1.3310193, 104.0045337 1.3306534, 104.0041313 1.3295923, 104.0039973 1.3293243, 104.0038202 1.3291572, 104.0034823 1.3282733, 104.0033133 1.3283403, 104.0025533 1.3266173, 104.0027533 1.3265613, 104.0025233 1.3260633, 104.0024222 1.3259331, 104.0012729 1.323424, 104.0001932 1.3208828, 103.9982803 1.3216083))",Yellow,
"POLYGON ((104.013455 1.35747, 104.016536 1.3562189, 104.0178957 1.3599778, 104.0190598 1.3626432, 104.0190598 1.3627558, 104.0189632 1.3629019, 104.016712 1.3638595, 104.0167045 1.3638221, 104.0164905 1.3636855, 104.0162502 1.3635169, 104.016014 1.363222, 104.013657 1.357612, 104.0135487 1.3577093, 104.013455 1.35747))",Yellow,
"POLYGON ((104.0093788 1.3420377, 104.0093405 1.3419469, 104.0092982 1.3418534, 104.010148 1.341488, 104.010228 1.341673, 104.0093788 1.3420377))",Yellow,
"POLYGON ((104.007907 1.34916, 104.008569 1.348881, 104.009251 1.348645, 104.013169 1.357414, 104.013292 1.357406, 104.014501 1.360196, 104.015919 1.363469, 104.005554 1.367782, 104.005264 1.367342, 104.005082 1.366801, 104.009051 1.365068, 104.012764 1.363395, 104.00904 1.354055, 104.009797 1.353713, 104.008745 1.351192, 104.007907 1.34916))",Black,
"POLYGON ((104.016155 1.364296, 104.016039 1.36414, 104.015812 1.363743, 104.015696 1.363647, 104.015414 1.363676, 104.015996 1.363432, 104.016372 1.364009, 104.016353 1.364215, 104.016155 1.364296))",Black,
"POLYGON ((104.0008517 1.3286855, 104.0009907 1.3289891, 104.0010753 1.3291932, 104.0012927 1.3297803, 104.0016974 1.3306167, 104.0018244 1.3309075, 104.0020188 1.331381, 104.0026922 1.3328931, 104.003059 1.3337044, 104.0034388 1.33458, 104.0038262 1.335433, 104.0047586 1.3376127, 104.0049858 1.3380885, 104.0051634 1.3385471, 104.0052889 1.3387925, 104.0055377 1.3393758, 104.0059352 1.3402682, 104.006308 1.341127, 104.006603 1.341823, 104.0066766 1.3419286, 104.0068515 1.3423668, 104.0073325 1.3434602, 104.0078444 1.3446328, 104.007994 1.3449645, 104.0083239 1.3457448, 104.0084799 1.3461021, 104.0087756 1.3467544, 104.0093544 1.3480564, 104.0097513 1.3489992, 104.0100717 1.3496863, 104.0101109 1.3497904, 104.010851 1.351463, 104.011227 1.352316, 104.011588 1.353148, 104.012606 1.355452, 104.013324 1.357199, 104.013547 1.357647, 104.013657 1.357612, 104.014352 1.359254, 104.014554 1.359726, 104.014987 1.360718, 104.015398 1.361704, 104.015616 1.362249, 104.015818 1.362746, 104.016014 1.363222, 104.016206 1.363487, 104.016708 1.363838, 104.016372 1.364009, 104.016167 1.363698, 104.016094 1.363572, 104.015996 1.363432, 104.015919 1.363469, 104.01591 1.363468, 104.01257 1.356072, 104.009274 1.348643, 104.00793 1.349158, 104.007578 1.34896, 104.003992 1.350488, 104.003278 1.348804, 104.006672 1.347319, 104.006788 1.346997, 103.996316 1.322179, 103.99644 1.321885, 103.996718 1.321761, 103.996878 1.321742, 103.997024 1.321764, 103.997202 1.322082, 103.9979339 1.3217747, 103.9991197 1.3246146, 103.9991783 1.3247494, 103.9995669 1.3257192, 103.9997832 1.3262184, 104.0007074 1.3283647, 104.0008517 1.3286855))",Black,
"POLYGON ((104.0125806 1.3257474, 104.0115732 1.3233529, 104.0113807 1.3234348, 104.0111428 1.3228532, 104.0113628 1.3227554, 104.0126355 1.3257242, 104.0125806 1.3257474))",Black,
"POLYGON ((104.000638 1.322032, 104.000816 1.322441, 104.002414 1.325922, 104.002522 1.32607, 104.002752 1.326568, 104.002552 1.326624, 104.002752 1.32703, 104.003312 1.328347, 104.003481 1.32828, 104.003819 1.329122, 104.003996 1.329331, 104.00413 1.329599, 104.004066 1.33016, 104.00428 1.330181, 104.004296 1.330002, 104.004534 1.330597, 104.004558 1.330715, 104.00459 1.330887, 104.004625 1.331026, 104.004658 1.331115, 104.005728 1.333619, 104.00556 1.333687, 104.005768 1.334151, 104.005932 1.334084, 104.006258 1.334858, 104.006341 1.334955, 104.006445 1.335089, 104.006531 1.335317, 104.00647 1.335882, 104.006702 1.33591, 104.006716 1.335737, 104.006981 1.336412, 104.007018 1.336596, 104.007069 1.336825, 104.007843 1.338626, 104.007999 1.338802, 104.00813 1.3391, 104.008055 1.339644, 104.008264 1.339671, 104.008297 1.339488, 104.008579 1.340193, 104.008592 1.340322, 104.008577 1.340565, 104.008958 1.341517, 104.009033 1.341609, 104.009151 1.34167, 104.009225 1.34171, 104.00961 1.342585, 104.009458 1.342484, 104.009337 1.342649, 104.009794 1.343019, 104.009895 1.343297, 104.009919 1.343529, 104.010476 1.344902, 104.010748 1.345288, 104.010863 1.345545, 104.010723 1.345436, 104.010594 1.345602, 104.011034 1.34593, 104.011114 1.346156, 104.011166 1.346493, 104.012099 1.348794, 104.012346 1.349077, 104.012478 1.349375, 104.012334 1.349263, 104.012217 1.349447, 104.012643 1.349765, 104.012744 1.350033, 104.012737 1.350333, 104.012753 1.350439, 104.014407 1.354461, 104.014522 1.354922, 104.015252 1.35673, 104.013455 1.35747, 104.012157 1.354446, 104.000094 1.326944, 103.9979339 1.3217747, 103.9991299 1.3213026, 104.0001919 1.3208895, 104.000638 1.322032))",Red,